EARNHRBONUS,GENDER_R,AGE_R,C_Q09,D_Q03,D_Q05a1,D2_Q10_C,D_Q10,ISCOSKIL4,EDCAT7,BORNLANG
12.7167625427246,1,35,12,1,30,1,40,2,3,1
8.67051982879639,2,43,18,1,42,3,40,2,3,3
10,2,42,10,1,42,1,5,1,3,4
17.0006110851581,1,43,22,1,26,1,40,1,3,1
10.9826593399048,1,47,30,1,44,1,40,3,2,1
7.99522025768573,1,25,8,1,19,1,40,3,2,1
9.2463315817026,1,45,25,1,42,1,40,3,2,1
9.7265451504634,1,46,25,1,40,1,40,1,3,3
40.8653831481934,1,48,22,1,34,1,40,1,7,1
15.4100233434321,2,44,21,2,34,1,35,1,7,1
10.9826593399048,2,43,21,1,26,1,40,1,6,1
58.7650052584135,2,59,33,1,40,1,8,2,3,1
8.67051982879639,1,54,18,1,52,1,40,4,1,1
8.01541423797607,1,27,8,1,25,1,15,4,3,3
8.60115623474121,2,26,4,1,26,1,40,2,6,1
8.65384578704834,1,40,15,1,25,1,40,2,7,1
9.37353515625,2,35,12,2,23,1,37,2,7,1
16.5427689919105,1,32,6,1,26,1,32,1,7,2
20.4102719757017,2,56,33,2,24,1,37,1,6,1
8.67051982879639,1,51,27,1,43,1,40,2,6,1
10.7899808883667,2,35,17,1,27,1,30,2,3,1
5.20231199264526,2,25,2,1,23,1,40,3,3,3
2.54335260391235,2,29,3,1,26,3,50,2,3,3
10.5697774887085,1,45,26,1,28,1,35,2,1,1
11.5606937408447,1,30,5,1,28,1,40,1,7,1
6.09826612472534,2,34,6,2,33,1,40,1,2,1
8.72006607055664,2,35,10,2,34,3,35,2,7,1
11.5384616851807,1,31,11,1,21,1,40,3,3,1
11.2980764829195,2,45,22,1,38,1,40,1,3,1
13.461538534898,1,42,28,1,35,1,40,2,2,1
13.3136097138685,2,39,26,1,25,1,39,3,7,1
18.2030903009268,1,53,33,1,46,1,40,3,3,1
9.80143979879526,2,56,22,2,40,1,40,1,2,1
8.98918028366871,2,35,8,1,28,1,30,1,5,1
7.70712900161743,2,30,6,1,30,1,15,3,3,1
8.75,1,40,24,1,39,1,40,3,2,1
9.10842514038086,2,48,13,1,44,1,33,2,3,1
6.42084305976337,2,62,25,1,47,1,42,2,2,2
9.82658958435059,1,50,23,1,50,1,40,1,7,1
3.85356450080872,2,64,30,1,30,1,24,1,1,1
14.6409517434927,1,39,8,1,37,1,40,1,7,1
10.1911964416504,1,28,1,1,27,3,26,2,5,1
10,2,57,37,1,39,1,15,4,1,1
14.1000449107243,2,50,20,2,38,1,50,1,6,1
7.01254805085484,1,50,30,1,40,1,43,3,2,2
5.192307472229,2,54,2,1,53,1,40,3,2,1
